id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2774,Sardar Azmoun,24,1763,19,18.60520789772272,2,2.467504202388227,83,22,4,0,F S,Zenit St. Petersburg,16,14.833837740123272,17.949673832394183,4.6096703708171844
3063,Artem Dzyuba,26,2174,16,15.75310816988349,6,7.448265660554171,68,55,0,0,F S,Zenit St. Petersburg,13,11.227459620684385,21.650396764278412,5.64347552601248
7770,Jordan Larsson,27,2359,14,11.611703179776669,5,4.438526006415486,75,51,5,0,F M,Spartak Moscow,13,10.103152520954609,17.281843166798353,4.9598087621852756
5397,Alexander Sobolev,20,1338,13,9.890350364148617,2,2.6767484843730927,62,24,9,0,F S,Spartak Moscow,9,6.873255990445614,8.837871000170708,1.6203499305993319
7121,Djorde Despotovic,25,1897,13,10.993776194751263,3,2.2911140844225883,62,20,6,0,F S,Rubin Kazan,10,8.730950282886624,10.921086329966784,3.1148972623050213
2771,Christian Noboa,24,2095,12,7.462747238576412,7,6.006631724536419,62,47,6,0,M,PFC Sochi,6,2.9370953384786844,12.129186375066638,7.38934669829905
6276,Nikola Vlasic,26,2271,11,8.393302984535694,5,5.512591104954481,103,71,3,0,M,CSKA Moscow,8,4.621931299567223,15.72785796225071,8.641544813290238
5899,Anton Zabolotny,26,1883,10,8.862112209200859,4,1.7673295503482223,80,23,6,0,F S,PFC Sochi,10,8.862112209200859,11.342598604038358,1.6335268095135689
2057,Ezequiel Ponce,24,1535,9,7.857287349179387,1,1.6943831611424685,61,15,3,0,F M S,Spartak Moscow,9,7.857287349179387,9.382164501585066,2.461158772930503
2414,Grzegorz Krychowiak,25,2173,9,5.381640452891588,3,3.200069446116686,61,22,7,1,F M S,Lokomotiv Moscow,8,4.627366591244936,13.520151294767857,7.770634863525629
7668,Marcus Berg,19,1520,9,9.51458432059735,2,1.9808863867074251,46,18,4,0,F S,FC Krasnodar,8,8.006033699028194,10.763576702214777,1.9356095036491752
2946,Bernard Berisha,26,1937,8,8.413566147908568,2,3.4370469702407718,59,33,9,0,F M S,FK Akhmat,5,5.396466327831149,10.337040726095438,2.816414639353752
3390,Rémy Cabella,23,1485,8,4.2676210682839155,1,2.962011491879821,37,34,2,1,F M S,FC Krasnodar,7,3.5133457463234663,11.628297371789813,7.158606415614486
2772,Aleksandr Erokhin,24,781,7,6.119786716997623,3,2.344618208706379,38,12,2,0,F M S,Zenit St. Petersburg,7,6.119786716997623,9.320647552609444,1.563059269450605
2775,Dmitriy Poloz,27,1749,7,5.681902498006821,3,1.0363047234714031,31,18,2,0,F M S,"FC Rostov,PFC Sochi",3,2.66480128839612,4.531906794756651,2.064873604103923
2925,Fedor Smolov,20,1299,7,5.3895426988601685,2,3.4101524762809277,46,19,1,0,F S,Lokomotiv Moscow,7,5.3895426988601685,9.284935867413878,2.833044992759824
5483,Eric Bicfalvi,21,1890,7,8.556881616823375,1,2.693654917180538,74,28,4,0,F M,Ural,3,5.539785305969417,8.79629211127758,3.002458831295371
5497,Vladimir Iljin,27,1968,7,9.974276781082153,3,2.1922492794692516,72,21,6,0,F M S,FK Akhmat,6,7.711450792849064,10.018441155552864,1.4234583619982004
6793,Daniil Lesovoy,27,2138,7,5.214098474010825,3,2.9194876169785857,55,46,2,1,F M S,"Arsenal Tula,Dinamo Moscow",6,4.459823152050376,11.489005321636796,4.767305514775217
8361,Denis Makarov,27,1853,7,6.328060844913125,1,3.2428973335772753,78,27,7,1,F M S,Rubin Kazan,7,6.328060844913125,11.417575096711516,3.386417180299759
2869,Reziuan Mirzov,17,1230,6,4.415020197629929,1,2.4685401897877455,43,22,3,0,F M S,"Khimki,Spartak Moscow",4,2.906469525769353,6.991438984870911,2.3706826362758875
2986,Nikita Burmistrov,21,1491,6,4.678557453677058,1,1.4965870026499033,43,24,3,1,F M S,PFC Sochi,6,4.678557453677058,8.036973215639591,3.9955241717398167
3067,Artur Yusupov,22,1856,6,2.278654381632805,2,2.2071936167776585,33,30,5,0,F M S,PFC Sochi,6,2.278654381632805,10.586160330101848,7.0915655847638845
5454,Fedor Chalov,25,1048,6,8.57438681460917,4,2.375228300690651,53,21,1,0,F M S,CSKA Moscow,5,7.820111522451043,10.553103972226381,1.4307571854442358
5459,Konstantin Kuchaev,20,1396,6,4.251942474395037,3,1.6922012995928526,27,22,1,0,M S,CSKA Moscow,6,4.251942474395037,8.416475016623735,3.5254193861037493
5536,Daniil Fomin,28,2315,6,5.256237326189876,3,2.8372675636783242,47,32,6,0,M,Dinamo Moscow,3,2.9934128392487764,8.195441827178001,5.73904586955905
7680,Andrey Mostovoy,25,865,6,3.763219479471445,2,2.9786833990365267,28,22,0,0,F M S,Zenit St. Petersburg,6,3.763219479471445,8.80250252597034,4.295422062277794
8610,Kento Hashimoto,17,1105,6,3.3989135958254337,1,0.3273654468357563,26,7,4,0,M S,FC Rostov,6,3.3989135958254337,4.389053640887141,1.818323852494359
2751,Aleksey Ionov,26,2036,5,4.014265574514866,5,3.472794519737363,20,34,3,0,D F M S,"FC Krasnodar,FC Rostov",4,3.2599902227520943,9.008761608973145,3.602791312150657
3333,Francois Kamano,24,1394,5,3.4207948157563806,1,0.7967825336381793,36,15,1,0,F M S,Lokomotiv Moscow,5,3.4207948157563806,7.292145848274231,3.28678685054183
5478,Viktor Claesson,22,1552,5,5.308780111372471,4,2.081006245687604,34,24,5,0,F M S,FC Krasnodar,4,4.55450477451086,9.25627819262445,3.8955963235348463
8599,Ilya Kukharchuk,20,1269,5,3.176437987945974,5,2.0537639558315277,28,19,5,1,D F M S,Khimki,5,3.176437987945974,6.6977261593565345,2.199248095974326
813,Salomón Rondón,9,719,4,6.038814008235931,1,0.24940125644207,28,6,0,0,F,CSKA Moscow,2,4.53026476688683,4.936873871833086,0.37312555126845837
960,Clinton N&#039;Jie,22,1112,4,1.8762180246412754,0,1.123718935996294,24,16,4,0,F M S,Dinamo Moscow,4,1.8762180246412754,5.061575211584568,2.3137593204155564
2830,Pavel Pogrebnyak,16,1237,4,3.269643443636596,0,0.8035512752830982,29,17,2,1,F S,Ural,4,3.269643443636596,4.225509464740753,0.8685898873955011
3015,Nikolay Komlichenko,24,1066,4,4.148467635735869,0,0.9138373713940382,27,11,3,1,F M S,Dinamo Moscow,1,1.8856416549533606,4.194739285856485,1.7847257144749165
4605,Anton Miranchuk,22,1286,4,6.155184127390385,5,4.9784728391096,40,44,1,0,F M S,Lokomotiv Moscow,1,2.383807525038719,8.004896297119558,2.520959544926882
4695,Arshak Koryan,14,723,4,2.1469213888049126,1,0.8151684915646911,15,9,2,0,D F M S,Khimki,2,0.6383721958845854,2.391778089106083,1.074869493022561
5458,Timur Zhamaletdinov,27,1723,4,4.540880719199777,1,2.0006071012467146,49,20,3,0,F M S,FC Ufa,4,4.540880719199777,6.866250615566969,2.1128006521612406
