id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7084,Dusan Vlahovic,15,1346,12,7.6342257065698504,2,1.2995305098593235,51,15,2,0,F,Fiorentina,8,4.589030365459621,6.403056645765901,1.780026669614017
1209,Ciro Immobile,13,1154,11,9.000082902610302,2,1.1860680431127548,49,8,2,0,F,Lazio,8,5.954887688159943,8.170777261257172,2.2033575288951397
1102,Giovanni Simeone,14,884,9,3.991506758145988,2,0.7715832851827145,24,11,2,0,F S,"Cagliari,Verona",9,3.991506758145988,5.013982687145472,0.6645871717482805
1148,Duván Zapata,12,959,9,9.638460043817759,3,2.2859139554202557,38,18,1,0,F S,Atalanta,6,7.354603502899408,10.998304396867752,2.4661991372704506
1592,João Pedro,15,1350,8,6.2546004466712475,3,1.9265673160552979,36,12,3,0,F,Cagliari,5,3.9707040153443813,6.38320479542017,2.097533268854022
7006,Lautaro Martínez,14,909,8,10.427410112693906,2,1.254968836903572,46,9,3,0,F M S,Inter,5,7.3822148609906435,8.910046366974711,1.1381377689540386
1134,Mario Pasalic,15,906,7,4.931803859770298,5,3.4481071550399065,19,18,1,0,F M S,Atalanta,7,4.931803859770298,9.49158826470375,1.6310888100415468
1253,Edin Dzeko,15,986,7,5.725559517741203,1,1.3923788759857416,29,16,2,0,F S,Inter,7,5.725559517741203,8.00439945794642,2.06074340082705
1612,Domenico Berardi,13,1139,7,5.149681376293302,4,3.4528205785900354,42,23,2,0,F M,Sassuolo,5,3.6270837504416704,9.275185599923134,3.43557932972908
865,Marko Arnautovic,14,1175,6,7.577723255380988,1,1.4084388697519898,41,16,3,0,F,Bologna,4,5.293826719745994,7.200165958143771,2.292087659239769
1517,Antonio Candreva,15,1349,6,2.5040996707975864,4,4.270737290382385,34,42,2,0,F M,Sampdoria,6,2.5040996707975864,6.885539494454861,2.5327667631208897
1580,Mattia Destro,8,640,6,3.2599542662501335,0,0.1638544350862503,23,4,2,0,F,Genoa,6,3.2599542662501335,3.3936592042446136,0.15700703859329224
