id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2370,Karim Benzema,16,1300,13,8.67695339769125,7,3.0954366251826286,57,30,0,0,F,Real Madrid,12,7.9338037595152855,12.619586233049631,3.2245985879562795
897,Juanmi,15,920,11,5.122133079916239,1,0.6124656163156033,24,9,3,0,F M S,Real Betis,11,5.122133079916239,5.072693541646004,0.7084013763815165
7008,Vinícius Júnior,17,1350,10,7.315395947545767,4,2.904747810214758,43,28,3,0,F M S,Real Madrid,10,7.315395947545767,13.026773288846016,4.7196379117667675
555,Memphis Depay,15,1350,8,9.03060613758862,2,3.852882083505392,43,35,1,0,F,Barcelona,5,6.057495651766658,11.199097573757172,3.835233338177204
866,Joselu,16,1311,8,6.077319701202214,1,1.200369093567133,36,11,0,0,F S,Alaves,4,3.1042091520503163,3.5696319071576,1.0377780739217997
4229,Raúl de Tomás,16,1418,8,7.789524829015136,2,0.8549553472548723,57,12,2,1,F,Espanyol,6,6.302969535812736,6.5590085089206696,1.7705686166882515
2098,Luis Suárez,16,936,7,6.331890111789107,1,0.7781198946759105,25,7,4,0,F S,Atletico Madrid,6,5.588612442836165,6.751167603768408,1.604498703032732
2290,Iago Aspas,16,1247,7,6.837956357747316,1,2.4635102190077305,36,29,6,0,F S,Celta Vigo,6,4.6082514226436615,7.4863971481099725,2.0023343842476606
2234,Mikel Oyarzabal,12,955,6,6.169513493776321,1,1.4251623041927814,28,19,0,0,F M S,Real Sociedad,4,3.9396806359291077,5.518689639866352,1.1308880522847176
2361,Willian José,14,904,6,4.181137070059776,4,1.8138247840106487,20,14,1,0,F S,Real Betis,4,2.694581836462021,4.958870880305767,1.3854711763560772
696,Falcao,9,343,5,2.7152210772037506,0,0.013266279362142086,15,1,1,0,F S,Rayo Vallecano,5,2.7152210772037506,2.0756256049498916,0.0851580947637558
1189,Lucas Boyé,14,1077,5,2.976133605465293,0,1.702108358964324,32,14,2,0,F S,Elche,5,2.976133605465293,4.233662949874997,1.3677011169493198
2117,Marco Asensio,15,770,5,3.2719435561448336,0,1.4591678846627474,26,13,0,0,F M S,Real Madrid,5,3.2719435561448336,5.9405827075243,2.6314841136336327
2186,Morales,17,1361,5,4.286542294546962,0,0.7815737221390009,30,10,3,0,F M S,Levante,5,3.5432646851986647,5.596725858747959,1.573527374304831
2384,Santi Mina,16,1200,5,3.98468204587698,3,1.7575677148997784,31,14,2,0,F,Celta Vigo,5,3.98468204587698,6.046114131808281,1.517989121377468
2478,Carlos Soler,13,986,5,5.262732580304146,2,1.6428161039948463,16,21,3,0,M S,Valencia,1,2.2896220684051514,4.663968078792095,2.6587728690356016
2589,Rafa Mir,15,986,5,4.603627644479275,0,0.1653708191588521,35,4,3,0,F S,Sevilla,5,4.603627644479275,5.523124979808927,1.2944839280098677
6219,Enes Ünal,17,1116,5,3.91768042370677,0,0.2826186902821064,34,9,4,0,F S,Getafe,5,3.1744027994573116,3.0748103633522987,1.166439976543188
6637,Hugo Duro,15,924,5,2.8269800394773483,0,0.3658980242908001,19,7,0,0,F M S,"Getafe,Valencia",5,2.8269800394773483,3.331741400063038,1.0443613771349192
7071,Álvaro García,17,1437,5,3.7153150867670774,1,2.1471073366701603,36,14,3,0,M S,Rayo Vallecano,5,3.7153150867670774,7.894295446574688,2.3168092146515846
8066,Arnaut Danjuma Groeneveld,12,800,5,5.610459968447685,2,0.6181427836418152,36,5,1,0,F M S,Villarreal,5,5.610459968447685,8.073356047272682,2.4712539203464985
644,Erik Lamela,12,588,4,1.85529775172472,1,1.559736905619502,14,14,4,0,F S,Sevilla,4,1.85529775172472,6.085573274642229,3.6786063127219677
2275,Ángel Correa,16,936,4,2.2001140136271715,4,2.6952476892620325,22,15,2,0,F M S,Atletico Madrid,4,2.2001140136271715,6.0603892505168915,1.835353558883071
5682,Gonçalo Guedes,17,1317,4,2.8550358414649963,3,3.7956958590075374,37,24,1,0,F M S,Valencia,4,2.8550358414649963,8.76761019602418,4.380173614248633
6533,Anthony Lozano,14,844,4,3.0887476038187742,1,0.5385601744055748,27,6,3,0,F M S,Cadiz,4,3.0887476038187742,2.911948088556528,0.3688422664999962
8978,Luis Suárez,15,1192,4,2.851100791245699,0,0.9516082750633359,28,12,3,0,F M S,Granada,4,2.1078231520950794,3.899105865508318,1.1123675107955933
1109,Lucas Ocampos,12,794,3,3.4513854812830687,1,0.48005097173154354,20,9,3,0,F S,Sevilla,3,3.4513854812830687,5.650857711210847,2.473186133429408
2228,Aritz Elustondo,15,1242,3,0.5793200917541981,1,0.2580984830856323,7,1,2,1,D S,Real Sociedad,3,0.5793200917541981,2.257199350744486,2.176138997077942
2270,Antoine Griezmann,16,1163,3,3.7113309018313885,1,1.5072342492640018,30,16,2,0,F M S,"Atletico Madrid,Barcelona",3,3.7113309018313885,7.694829756394029,3.656773917376995
2301,Manu Trigueros,15,992,3,2.539718598127365,0,1.2180914916098118,20,10,1,0,F M S,Villarreal,3,2.539718598127365,5.463323786854744,3.0234509482979774
2399,Iñaki Williams,17,1327,3,5.4432853274047375,1,4.202367544174194,39,15,1,0,F S,Athletic Club,3,5.4432853274047375,10.386892188340425,1.6142653720453382
