id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
9666,Lenny Joseph,3,51,0,0,0,0,0,0,1,0,S,Metz,0,0,0.02346387505531311,0.02346387505531311
9667,Amadou Onana,12,338,0,0.33718687295913696,0,0.16996975243091583,1,2,1,1,M S,Lille,0,0.33718687295913696,1.3370285481214523,0.8298719674348831
9669,Thuler,8,546,0,0.02798129804432392,0,0,1,0,1,1,D S,Montpellier,0,0.02798129804432392,0.3251531720161438,0.3251531720161438
9670,Léo Leroy,9,163,0,0.06826336309313774,0,0.011004227213561535,3,1,0,0,M S,Montpellier,0,0.06826336309313774,0.21005327999591827,0.13078568875789642
9671,Béni Makouana,10,123,0,0.13200872484594584,0,0.44819382205605507,4,2,2,0,S,Montpellier,0,0.13200872484594584,0.5282934326678514,0.01799476519227028
9672,Luan Peres,15,1205,0,0.013535471633076668,1,0.8606804385781288,1,9,1,0,D M S,Marseille,0,0.013535471633076668,6.5625762939453125,5.860925734043121
9767,Habib Diarra,1,1,0,0,0,0,0,0,0,0,S,Strasbourg,0,0,0,0
9778,Henrique,3,181,0,0,0,0.03137635812163353,0,1,0,0,D S,Lyon,0,0,0.29646041616797447,0.26508405804634094
9779,Rafiki Said,5,16,0,0.24315162748098373,0,0,3,0,0,0,S,Brest,0,0.24315162748098373,0.24315162748098373,0.07798545807600021
9780,Mathys Tel,3,28,0,0,0,0.0919741541147232,0,1,0,0,S,Rennes,0,0,0,0
9781,Osman Bukari,8,399,0,0.760629104450345,0,0.8708023261278868,8,6,0,0,M S,Nantes,0,0.760629104450345,1.729502184316516,0.6571648139506578
9782,Sikou Niakaté,5,235,0,0.11812428385019302,0,0.039066132158041,2,1,0,0,D S,Metz,0,0.11812428385019302,0.2904266119003296,0.2904266119003296
9807,Gideon Mensah,9,388,0,0.053081024438142776,1,1.1602062676101923,1,5,0,0,D S,Bordeaux,0,0.053081024438142776,2.455436259508133,2.255854334682226
9920,Fransérgio,12,561,0,0.4173610880970955,0,0.09085131948813796,4,3,2,0,M S,Bordeaux,0,0.4173610880970955,1.6813643146306276,1.1852852497249842
9929,Théo Le Bris,4,57,0,0,0,0,0,0,0,0,S,Lorient,0,0,0.011807619594037533,0.011807619594037533
9930,Amadou Salif Mbengue,3,186,0,0,0,0.017735663801431656,0,1,1,0,D S,Metz,0,0,0,0
9932,Nordine Kandil,2,18,0,0,1,0.6413069367408752,0,1,0,0,S,Strasbourg,0,0,0.6537877209484577,0.012480784207582474
9941,Mitchell van Bergen,9,464,0,0.28189267590641975,0,0.22833969816565514,4,6,1,0,F S,Reims,0,0.28189267590641975,0.40220336243510246,0.040570580400526524
9943,Moritz Jenz,7,600,0,0.09491882845759392,0,0.06547508388757706,3,2,1,1,D,Lorient,0,0.09491882845759392,0.7009098846465349,0.7009098846465349
9944,Gabriel Gudmundsson,8,280,0,0.13038873486220837,0,0.052342443726956844,3,2,0,0,D S,Lille,0,0.13038873486220837,0.4484496973454952,0.3252364359796047
9961,Nuno Mendes,8,492,0,0.05162976682186127,0,0.5234465673565865,2,2,2,0,D S,Paris Saint Germain,0,0.05162976682186127,3.7320465445518494,3.6259540021419525
9972,Yanis Guermouche,1,1,0,0,0,0,0,0,0,0,S,Montpellier,0,0,0,0
9973,Nicholas Gioacchini,12,212,0,0.7152769714593887,1,0.1661684773862362,6,2,0,0,M S,Montpellier,0,0.7152769714593887,0.81725880689919,0.13813531957566738
9974,Ignacio Ramírez,5,122,0,0.05083561223000288,0,0,2,0,0,0,F S,Saint-Etienne,0,0.05083561223000288,0.5439231721684337,0.4930875599384308
9977,Loum Tchaouna,2,8,0,0,0,0,0,0,0,0,S,Rennes,0,0,0.07061347365379333,0.07061347365379333
9978,Azor Matusiwa,11,950,0,0.0769903976470232,1,0.1730362307280302,2,7,4,0,M,Reims,0,0.0769903976470232,2.622367735952139,2.4557589031755924
9981,Youssouph Badji,6,116,0,0.18152214586734772,0,0,2,0,0,0,F S,Brest,0,0.18152214586734772,0.2401441689580679,0.05862202309072018
10040,Erik Palmer-Brown,2,89,0,0,0,0,0,0,0,0,D S,Troyes,0,0,0,0
10041,Yasser Larouci,1,12,0,0,0,0,0,0,0,0,S,Troyes,0,0,0.009864415973424911,0.009864415973424911
10057,Felix Lemarechal,1,8,0,0,0,0,0,0,0,0,S,Monaco,0,0,0,0
10058,Maghnes Akliouche,1,1,0,0,0,0,0,0,0,0,S,Monaco,0,0,0,0
10064,El Hadji Dieye,2,7,0,0,0,0,0,0,0,0,S,Saint-Etienne,0,0,0,0
10074,Sambou Soumano,5,23,0,0.08769439160823822,0,0.01758384145796299,1,1,1,0,S,Lorient,0,0.08769439160823822,0.10527823865413666,0
10099,Baptiste Mouazan,1,11,0,0,0,0,0,0,0,0,S,Lorient,0,0,0,0
10125,Ibrahima Baldé,1,15,0,0,0,0,0,0,0,0,S,Lens,0,0,0,0
10131,Lucas Calodat,1,1,0,0,0,0,0,0,0,0,S,Saint-Etienne,0,0,0.009136433713138103,0.009136433713138103
10133,Yadaly Diaby,1,21,0,0,0,0,0,0,0,1,S,Clermont Foot,0,0,0,0
